predictor,n,diagnosis,score_fun,score
DNN,0,1dAVb,Precision,0.5882352941176471
DNN,0,1dAVb,Recall,0.7391304347826086
DNN,0,1dAVb,Specificity,0.983729662077597
DNN,0,1dAVb,F1 score,0.6896551724137931
DNN,0,RBBB,Precision,0.6923076923076923
DNN,0,RBBB,Recall,1.0
DNN,0,RBBB,Specificity,0.9860583016476553
DNN,0,RBBB,F1 score,0.8181818181818181
DNN,0,LBBB,Precision,1.0
DNN,0,LBBB,Recall,1.0
DNN,0,LBBB,Specificity,1.0
DNN,0,LBBB,F1 score,1.0
DNN,0,SB,Precision,0.5
DNN,0,SB,Recall,0.7058823529411765
DNN,0,SB,Specificity,0.9864364981504316
DNN,0,SB,F1 score,0.6363636363636364
DNN,0,AF,Precision,1.0
DNN,0,AF,Recall,0.2
DNN,0,AF,Specificity,1.0
DNN,0,AF,F1 score,0.33333333333333337
DNN,0,ST,Precision,0.7560975609756098
DNN,0,ST,Recall,0.8604651162790697
DNN,0,ST,Specificity,0.987389659520807
DNN,0,ST,F1 score,0.8266666666666665
DNN,1,1dAVb,Precision,0.625
DNN,1,1dAVb,Recall,0.7407407407407407
DNN,1,1dAVb,Specificity,0.9846938775510204
DNN,1,1dAVb,F1 score,0.7187499999999999
DNN,1,RBBB,Precision,0.6923076923076923
DNN,1,RBBB,Recall,1.0
DNN,1,RBBB,Specificity,0.9860759493670886
DNN,1,RBBB,F1 score,0.8181818181818181
DNN,1,LBBB,Precision,1.0
DNN,1,LBBB,Recall,1.0
DNN,1,LBBB,Specificity,1.0
DNN,1,LBBB,F1 score,1.0
DNN,1,SB,Precision,0.5384615384615384
DNN,1,SB,Recall,0.7142857142857143
DNN,1,SB,Specificity,0.9864532019704434
DNN,1,SB,F1 score,0.64
DNN,1,AF,Precision,1.0
DNN,1,AF,Recall,0.3333333333333333
DNN,1,AF,Specificity,1.0
DNN,1,AF,F1 score,0.5
DNN,1,ST,Precision,0.8
DNN,1,ST,Recall,0.8620689655172413
